frame,t_capture_ms,t_hsv_ms,t_search_ms,t_map_ms,fps,tier_wrist,tier_thumb,tier_index,n_markers
0,3.1216,3.1982,5.8037,0.1026,6.06,3,3,0,2
1,1.7906,1.6821,7.264,0.1143,13.96,1,1,0,2
2,1.5267,1.7181,6.3027,0.0867,22.43,1,1,0,2
3,1.6677,1.936,6.6324,0.1261,29.29,1,1,0,2
4,1.8088,1.8635,9.4707,0.0942,32.86,1,1,0,2
5,4.3305,1.1868,5.3417,0.0605,38.39,1,1,3,3
6,1.359,1.2696,5.559,0.0738,46.02,1,1,1,3
7,2.1082,1.5959,5.6974,0.1053,51.44,1,1,1,3
8,1.5276,1.7335,5.7341,0.09,56.75,1,1,1,3
9,1.7948,1.2714,5.313,0.0789,61.23,1,1,1,3
10,2.875,1.4103,5.5452,0.0771,64.8,1,1,1,3
11,1.7926,1.4041,5.4288,0.0697,69.3,1,1,1,3
12,0.9896,1.2275,6.1793,0.0873,73.64,1,1,1,3
13,1.6505,1.5767,5.5263,0.0813,77.12,1,1,1,3
14,1.4948,1.3662,5.1352,0.0747,81.25,1,1,0,2
15,1.6931,1.2576,4.0502,0.0753,86.63,1,1,0,2
16,1.7062,1.6553,5.4239,0.0825,88.78,1,1,0,2
17,1.531,1.5013,9.2051,0.0469,87.76,1,1,0,2
18,2.5926,1.5749,7.4477,0.1022,87.19,1,1,0,2
19,1.4312,2.7393,7.4012,0.0574,86.73,1,1,0,2
20,0.7032,0.9907,7.4198,0.0654,88.67,1,1,0,2
21,1.6419,1.2361,4.7328,0.0607,92.0,1,1,0,2
22,1.6043,2.1489,6.3126,0.0848,92.28,1,1,0,2
23,1.3447,1.0511,6.0549,0.0491,94.46,1,1,0,2
24,0.6565,0.9925,4.1573,0.0447,101.47,1,1,0,2
25,0.7242,0.9853,3.5665,0.0424,109.43,1,1,0,2
26,0.7013,0.967,3.6205,0.0433,116.56,1,1,0,2
27,0.6874,1.2039,4.273,0.0519,120.44,1,1,0,2
28,0.6799,0.9793,3.5329,0.1122,126.17,1,1,0,2
29,1.337,1.0098,3.024,0.0418,130.95,1,1,0,2
30,0.579,1.1339,2.718,0.1281,138.87,1,1,0,2
31,0.6847,0.9947,2.9389,0.0423,145.02,1,1,0,2
32,0.6745,1.0057,3.171,0.071,150.04,1,1,0,2
33,0.724,0.9616,3.0966,0.0484,154.63,1,1,0,2
34,0.9594,1.0496,3.0537,0.0474,157.89,1,1,0,2
35,0.836,1.2806,2.8296,0.042,161.11,1,1,0,2
36,0.5671,1.0041,2.8872,0.1075,165.63,1,1,3,3
37,0.5492,0.9516,3.0321,0.0372,169.81,1,1,1,3
38,0.5228,0.9457,3.1406,0.04,173.46,1,1,1,3
39,0.7445,1.0429,3.2683,0.0422,174.72,1,1,1,3
40,0.8731,1.1311,2.9637,0.0389,176.26,1,1,1,3
41,0.54,0.9797,3.6421,0.0539,177.01,1,1,1,3
42,1.1102,1.3483,3.3655,0.0457,175.32,1,1,1,3
43,0.8161,1.1195,3.7234,0.0805,174.26,1,1,1,3
44,0.7599,1.2605,4.39,0.0443,171.55,1,1,1,3
45,0.7148,0.9893,3.3605,0.0494,173.1,1,1,1,3
46,1.0685,1.1309,5.1261,0.0343,168.96,1,1,1,3
47,0.5811,0.9907,3.4106,0.0427,171.21,1,1,0,2
48,0.6222,1.0265,2.7833,0.0421,175.51,1,1,0,2
49,0.7365,0.9727,2.8354,0.0446,178.81,1,1,0,2
50,0.715,0.9786,2.8087,0.046,182.0,1,1,0,2
51,0.6454,1.0034,2.8845,0.0528,184.66,1,1,0,2
52,0.6465,1.0917,3.0989,0.0447,185.76,1,1,0,2
53,0.7296,0.9705,3.5237,0.039,185.46,1,1,0,2
54,0.527,0.9511,2.8436,0.0443,188.78,1,1,0,2
55,0.5968,0.9797,2.8163,0.0433,191.49,1,1,0,2
56,0.5514,0.9546,2.8794,0.0445,193.97,1,1,0,2
57,0.5798,1.0956,3.5706,0.0796,191.9,1,1,0,2
58,0.6362,1.1468,4.048,0.0807,188.69,1,1,0,2
59,0.7843,1.3563,3.7399,0.0414,185.78,1,1,0,2
60,0.6187,1.1334,3.893,0.0774,183.89,1,1,0,2
61,0.5973,1.2472,3.732,0.0751,182.3,1,1,0,2
62,0.5941,1.1527,3.695,0.0507,181.47,1,1,0,2
63,0.583,2.4132,3.4613,0.0416,178.26,1,1,0,2
64,0.7683,1.0675,4.6076,0.0784,173.47,1,1,0,2
65,1.4799,1.7665,3.7728,0.0451,169.67,1,1,0,2
66,0.881,1.0136,3.5842,0.0417,170.15,1,1,0,2
67,0.8637,1.0658,4.2048,0.1359,168.23,1,1,0,2
68,0.7545,1.0119,3.8788,0.048,168.26,1,1,0,2
69,0.6556,1.1048,3.4781,0.088,169.01,1,1,2,3
70,0.7622,1.0359,5.3805,0.0541,165.43,1,1,0,2
71,0.7254,0.9819,3.1035,0.0404,168.56,1,1,2,3
72,0.5437,0.9599,3.0652,0.0447,172.44,1,1,1,3
73,0.5892,0.9601,3.115,0.0421,175.48,1,1,1,3
74,0.5276,1.0307,3.1771,0.0457,177.86,1,1,1,3
75,0.6763,1.0125,3.3931,0.048,178.7,1,1,1,3
76,0.6308,0.9928,3.973,0.0453,177.82,1,1,1,3
77,0.5443,1.1123,4.3125,0.0498,175.94,1,1,1,3
